"F4000T","UAA","NutsShare","res","x","y"
0,1000,0,5000,3040,3565
0,900,0,5000,3045,3565
0,700,0,5000,3050,3565
0,1100,0,5000,3055,3565
0,1100,0,5000,3060,3565
0,700,0,5000,3065,3565
0,2100,0,5000,3070,3565
0,1600,0,5000,3075,3565
0,1500,0,5000,3080,3565
0,1700,0,5000,3085,3565
0,1400,0,5000,3090,3565
0,1300,0,5000,3095,3565
0,1600,0,5000,3100,3565
0,900,0,5000,3105,3565
0,800,0,5000,3110,3565
0,1000,0,5000,3115,3565
0,700,0,5000,3120,3565
0,1400,0,5000,3125,3565
0,1200,0,5000,3130,3565
0,2200,0,5000,3135,3565
0,2300,0,5000,3140,3565
0,2100,0,5000,3145,3565
0,2000,0,5000,3160,3565
0,1700,0,5000,3165,3565
0,2000,0,5000,3170,3565
0,2100,0,5000,3175,3565
0,2300,0,5000,3180,3565
0,1600,0,5000,3185,3565
0,1900,0,5000,3190,3565
0,1700,0,5000,3195,3565
0,2000,0,5000,3200,3565
0,1800,0,5000,3205,3565
0,2100,0,5000,3210,3565
0,2000,0,5000,3215,3565
0,1900,0,5000,3220,3565
0,2000,0,5000,3225,3565
0,1900,0,5000,3230,3565
0,2100,0,5000,3235,3565
0,110,0,5000,3000,3560
0,800,0,5000,3005,3560
0,1400,0,5000,3010,3560
0,1000,0,5000,3015,3560
0,1200,0,5000,3040,3560
0,800,0,5000,3045,3560
0,1500,0,5000,3050,3560
0,400,0,5000,3055,3560
0,600,0,5000,3060,3560
0,1300,0,5000,3065,3560
0,1900,0,5000,3070,3560
0,1800,0,5000,3075,3560
0,1800,0,5000,3080,3560
0,2000,0,5000,3085,3560
0,1700,0,5000,3090,3560
0,1600,0,5000,3095,3560
0,1800,0,5000,3100,3560
0,1300,0,5000,3105,3560
0,1300,0,5000,3110,3560
0,1100,0,5000,3115,3560
0,2100,0,5000,3120,3560
0,2300,0,5000,3125,3560
0,2300,0,5000,3130,3560
0,2100,0,5000,3135,3560
0,2200,0,5000,3140,3560
0,1400,0,5000,3145,3560
0,1200,0,5000,3160,3560
0,1700,0,5000,3165,3560
0,1700,0,5000,3170,3560
0,1800,0,5000,3175,3560
0,1800,0,5000,3180,3560
0,1800,0,5000,3185,3560
0,1700,0,5000,3190,3560
0,2000,0,5000,3195,3560
0,2100,0,5000,3200,3560
0,1700,0,5000,3205,3560
0,2000,0,5000,3210,3560
0,2200,0,5000,3215,3560
0,1700,0,5000,3220,3560
0,2000,0,5000,3225,3560
0,2200,0,5000,3230,3560
0,2400,0,5000,3235,3560
0,150,0,5000,3000,3555
0,400,0,5000,3005,3555
0,1000,0,5000,3010,3555
0,1900,0,5000,3015,3555
0,2200,0,5000,3040,3555
0,1200,0,5000,3045,3555
0,900,0,5000,3050,3555
0,1400,0,5000,3060,3555
0,2100,0,5000,3065,3555
0,2200,0,5000,3070,3555
0,2400,0,5000,3075,3555
0,2200,0,5000,3080,3555
0,1700,0,5000,3085,3555
0,2000,0,5000,3090,3555
0,1300,0,5000,3095,3555
0,2600,0,5000,3100,3555
0,1700,0,5000,3105,3555
0,1200,0,5000,3110,3555
0,1400,0,5000,3115,3555
0,2500,0,5000,3120,3555
0,2300,0,5000,3125,3555
0,2600,0,5000,3130,3555
0,2100,0,5000,3135,3555
0,2000,0,5000,3140,3555
0,1700,0,5000,3145,3555
0,1100,0,5000,3150,3555
0,1400,0,5000,3155,3555
0,1500,0,5000,3160,3555
0,1500,0,5000,3165,3555
0,1200,0,5000,3170,3555
0,1600,0,5000,3175,3555
0,1500,0,5000,3180,3555
0,1900,0,5000,3185,3555
0,1900,0,5000,3190,3555
0,1800,0,5000,3195,3555
0,1800,0,5000,3200,3555
0,2000,0,5000,3205,3555
0,1800,0,5000,3210,3555
0,2000,0,5000,3215,3555
0,2400,0,5000,3220,3555
0,2100,0,5000,3225,3555
0,2000,0,5000,3230,3555
0,1800,0,5000,3235,3555
0,2100,0,5000,3240,3555
0,2500,0,5000,3245,3555
0,700,0,5000,3000,3550
0,700,0,5000,3005,3550
0,1000,0,5000,3010,3550
0,500,0,5000,3015,3550
0,1200,0,5000,3040,3550
0,1700,0,5000,3045,3550
0,1100,0,5000,3050,3550
0,700,0,5000,3055,3550
0,2000,0,5000,3060,3550
0,2200,0,5000,3065,3550
0,2100,0,5000,3070,3550
0,2300,0,5000,3075,3550
0,2200,0,5000,3080,3550
0,1700,0,5000,3085,3550
0,1800,0,5000,3090,3550
0,1500,0,5000,3095,3550
0,1900,0,5000,3100,3550
0,1500,0,5000,3105,3550
0,1500,0,5000,3110,3550
0,1800,0,5000,3115,3550
0,2200,0,5000,3120,3550
0,2800,0,5000,3125,3550
0,2500,0,5000,3130,3550
0,1900,0,5000,3135,3550
0,1900,0,5000,3140,3550
0,1100,0,5000,3145,3550
0,1200,0,5000,3150,3550
0,800,0,5000,3155,3550
0,1900,0,5000,3160,3550
0,1800,0,5000,3165,3550
0,1900,0,5000,3170,3550
0,1700,0,5000,3175,3550
0,1700,0,5000,3180,3550
0,1700,0,5000,3185,3550
0,1900,0,5000,3190,3550
0,1800,0,5000,3195,3550
0,1900,0,5000,3200,3550
0,1900,0,5000,3205,3550
0,6000,0,5000,3210,3550
0,1600,0,5000,3215,3550
0,2100,0,5000,3220,3550
0,1700,0,5000,3225,3550
0,1400,0,5000,3230,3550
0,1500,0,5000,3235,3550
0,1900,0,5000,3240,3550
0,2200,0,5000,3245,3550
0,250,0,5000,3005,3545
0,400,0,5000,3010,3545
0,300,0,5000,3015,3545
0,900,0,5000,3060,3545
0,2100,0,5000,3065,3545
0,2100,0,5000,3070,3545
0,1800,0,5000,3075,3545
0,1500,0,5000,3080,3545
0,1700,0,5000,3085,3545
0,2000,0,5000,3090,3545
0,1800,0,5000,3095,3545
0,1600,0,5000,3100,3545
0,1500,0,5000,3105,3545
0,1300,0,5000,3110,3545
0,1600,0,5000,3115,3545
0,2000,0,5000,3120,3545
0,2000,0,5000,3125,3545
0,2300,0,5000,3130,3545
0,1200,0,5000,3135,3545
0,1300,0,5000,3140,3545
0,700,0,5000,3145,3545
